0,1,2,3,4,5
30,34,5.361269,4.96064138,196,77488.125
30,-32,-5.20119476,4.52552128,315,64490.6484
30,28,4.86527205,6.46064091,185,131434.922
30,-13,-3.31512427,1.01104665,183,3218.85815
30,15,3.56101489,4.68150282,291,69012.875
31,-40,-5.81511259,3.01900315,309,28424.2559
31,16,3.67780018,5.40808296,23,91211.3203
31,-21,-4.21344948,6.66599751,63,138577.375
31,29,4.95138979,1.44306755,287,6494.34521
31,-29,-4.95138979,6.65698051,337,138202.703
31,14,3.44026709,3.88277459,235,47016.0742
31,-27,-4.7776022,4.79827785,30,71801.3828
31,39,5.74196386,5.66826248,355,100198.672
31,-21,-4.21344948,4.51118517,77,63466.3203
31,36,5.51670027,3.50768256,54,38370.957
31,-40,-5.81511259,7.64077759,161,182069.469
31,18,3.90089607,4.56656551,297,65034.1406
31,-18,-3.90089607,3.26348305,40,33214.2734
31,23,4.40952778,5.3860569,95,90469.8516
31,-35,-5.43953991,7.47269821,355,174147.375
31,37,5.59279633,7.64826107,230,182426.297
31,-18,-3.90089607,4.34545231,306,58888.707
31,33,5.28183842,4.02354383,239,50486.9883
31,-31,-5.11928129,4.70514154,193,69041.0469
31,24,4.50436687,1.33741093,78,5578.17041
31,-18,-3.90089607,1.89284086,60,11173.5254
32,30,5.03603554,5.99511433,252,119099.109
32,-14,-3.44026709,2.90717649,125,28006.3398
32,17,3.79098964,1.94034028,285,12475.8262
32,-14,-3.44026709,6.31811237,150,132278.188
32,27,4.7776022,6.51721907,198,140746.703
32,-11,-3.0494709,6.92730188,209,159016.344
32,16,3.67780018,4.16521597,341,57489.5078
32,-28,-4.86527205,5.78892469,231,111047.648
32,23,4.40952778,2.47994041,4,20379.6191
32,-13,-3.31512427,3.38211393,7,37904.4297
32,31,5.11928129,4.19432211,221,58295.7812
32,-22,-4.312603,4.99866772,235,82798.4375
32,36,5.51670027,6.62512207,84,145445.844
32,-14,-3.44026709,7.43363667,206,183111.75
32,40,5.81511259,2.14392805,304,15231.1943
32,-11,-3.0494709,5.00999165,280,83173.9922
32,13,3.31512427,7.9500556,230,209437.25
32,-25,-4.59724998,1.61157274,176,8606.23926
32,34,5.361269,3.72330165,66,45937.7773
33,-39,-5.74196386,5.55116224,176,88707.1484
33,18,3.90089607,3.39168525,297,33114.7773
33,-21,-4.21344948,4.06755829,263,47627.5625
33,34,5.361269,2.45914388,233,17408.3926
33,-25,-4.59724998,3.85914755,196,42871.9844
33,33,5.28183842,6.69331121,85,128965.281
33,-31,-5.11928129,5.48206329,114,86512.5078
33,31,5.11928129,4.05041504,141,47226.9414
33,-33,-5.28183842,1.34997129,66,5246.13916
33,12,3.18506837,2.98551607,250,25658.4023
33,-17,-3.79098964,2.58615613,346,19253.0801
33,17,3.79098964,3.54531527,169,36182.6602
33,-27,-4.7776022,3.12557769,93,28122.3359
33,30,5.03603554,4.59024715,310,60654.4883
33,-29,-4.95138979,2.31167722,356,15383.1455
33,22,4.312603,3.37494588,15,32788.7148
34,-17,-3.79098964,2.73129296,217,21514.8203
34,18,3.90089607,6.86122227,189,135770.094
34,-30,-5.03603554,6.5753994,223,124693.961
34,15,3.56101489,4.74612904,40,64965.1133
34,-33,-5.28183842,4.19341278,114,50714.9922
34,15,3.56101489,3.69470286,139,39369.5273
34,-12,-3.18506837,7.89882612,134,179939.406
34,30,5.03603554,1.5848248,126,7243.75342
34,-14,-3.44026709,2.16455936,251,13512.6387
34,39,5.74196386,1.77433515,215,9079.71973
34,-25,-4.59724998,2.27458024,226,14921.1963
34,29,4.95138979,2.87542176,295,23845.3809
34,-38,-5.66787052,7.21680784,42,150207.438
34,11,3.0494709,4.9045186,276,69373.5469
