0,1,2,3,4,5
34.0,12.0,-3.185068,7.898826,134.0,179939.406
34.0,-12.0,-3.185068,7.898826,134.0,179939.406
34.0,33.0,-5.281838,4.193413,114.0,50714.9922
34.0,-33.0,-5.281838,4.193413,114.0,50714.9922
35.0,40.0,5.815113,6.819708,171.0,150354.125
35.0,-40.0,5.815113,6.819708,171.0,150354.125
35.0,32.0,5.201195,7.29916,345.0,172238.219
35.0,-32.0,5.201195,7.29916,345.0,172238.219
35.0,13.0,-3.315124,2.363466,67.0,18058.5312
35.0,-13.0,-3.315124,2.363466,67.0,18058.5312
35.0,24.0,-4.504367,7.50468,113.0,182074.078
35.0,-24.0,-4.504367,7.50468,113.0,182074.078
35.0,12.0,3.185068,7.306606,78.0,172589.844
35.0,-12.0,3.185068,7.306606,78.0,172589.844
35.0,28.0,-4.865272,6.254019,182.0,126445.156
35.0,-28.0,-4.865272,6.254019,182.0,126445.156
35.0,24.0,-4.504367,2.14379,315.0,14857.5811
35.0,-24.0,-4.504367,2.14379,315.0,14857.5811
35.0,18.0,3.900896,7.075049,311.0,161823.906
35.0,-18.0,3.900896,7.075049,311.0,161823.906
35.0,39.0,5.741964,5.117275,245.0,84656.7109
35.0,-39.0,5.741964,5.117275,245.0,84656.7109
35.0,25.0,-4.59725,1.827751,274.0,10799.8535
35.0,-25.0,-4.59725,1.827751,274.0,10799.8535
35.0,22.0,-4.312603,3.360094,23.0,36499.4805
35.0,-22.0,-4.312603,3.360094,23.0,36499.4805
36.0,25.0,-4.59725,5.098894,135.0,79968.2109
36.0,-25.0,-4.59725,5.098894,135.0,79968.2109
36.0,14.0,3.440267,4.132442,332.0,52526.5469
36.0,-14.0,3.440267,4.132442,332.0,52526.5469
36.0,38.0,5.667871,7.40844,77.0,168818.031
36.0,-38.0,5.667871,7.40844,77.0,168818.031
36.0,31.0,-5.119281,2.910231,60.0,26050.748
36.0,-31.0,-5.119281,2.910231,60.0,26050.748
36.0,35.0,-5.43954,5.853213,323.0,105379.008
36.0,-35.0,-5.43954,5.853213,323.0,105379.008
36.0,27.0,4.777602,4.255911,171.0,55712.2188
36.0,-27.0,4.777602,4.255911,171.0,55712.2188
36.0,22.0,-4.312603,6.609511,353.0,134370.531
36.0,-22.0,-4.312603,6.609511,353.0,134370.531
36.0,21.0,4.213449,4.986173,96.0,76471.5781
36.0,-21.0,4.213449,4.986173,96.0,76471.5781
36.0,25.0,-4.59725,7.95551,195.0,194671.078
36.0,-25.0,-4.59725,7.95551,195.0,194671.078
37.0,20.0,4.111906,1.941181,305.0,12321.8223
37.0,-20.0,4.111906,1.941181,305.0,12321.8223
37.0,35.0,5.43954,7.063292,356.0,163138.672
37.0,-35.0,5.43954,7.063292,356.0,163138.672
37.0,24.0,-4.504367,1.943324,79.0,12349.042
37.0,-24.0,-4.504367,1.943324,79.0,12349.042
37.0,18.0,3.900896,7.460799,182.0,182017.578
37.0,-18.0,3.900896,7.460799,182.0,182017.578
37.0,30.0,-5.036036,7.901235,147.0,204142.125
37.0,-30.0,-5.036036,7.901235,147.0,204142.125
37.0,23.0,4.409528,2.02221,87.0,13371.959
37.0,-23.0,4.409528,2.02221,87.0,13371.959
37.0,28.0,-4.865272,5.651034,140.0,104423.578
37.0,-28.0,-4.865272,5.651034,140.0,104423.578
37.0,17.0,-3.79099,2.193197,333.0,15728.8789
37.0,-17.0,-3.79099,2.193197,333.0,15728.8789
37.0,34.0,-5.361269,2.108934,206.0,14543.4902
37.0,-34.0,-5.361269,2.108934,206.0,14543.4902
37.0,12.0,-3.185068,3.703967,22.0,44861.8281
37.0,-12.0,-3.185068,3.703967,22.0,44861.8281
37.0,17.0,-3.79099,7.76018,311.0,196918.359
37.0,-17.0,-3.79099,7.76018,311.0,196918.359
38.0,34.0,-5.361269,3.373427,27.0,34949.1406
38.0,-34.0,-5.361269,3.373427,27.0,34949.1406
38.0,28.0,4.865272,7.525103,18.0,173907.609
